Number,Common Name,Scientific Name
,"Ducks, geese, and waterfowl",
001,"Lesser Whistling-Duck","Dendrocygna javanica",2024-10-10
002,"Cotton Pygmy-Goose","Nettapus coromandelianus",2024-10-15
003,"Garganey","Spatula querquedula",2025-01-11
004,"Northern Shoveler","Spatula clypeata"
005,"Northern Pintail","Anas acuta"
006,"Green-winged Teal","Anas crecca"
007,"Ferruginous Duck","Aythya nyroca"
008,"Tufted Duck","Aythya fuligula"
,"Pheasants, grouse, and allies",
009,"Common Quail","Coturnix coturnix"
010,"Red Junglefowl","Gallus gallus"
,"Flamingos",
011,"Greater Flamingo","Phoenicopterus roseus",2025-10-07
,"Pigeons and doves",
012,"Rock Pigeon","Columba livia"
013,"European Turtle-Dove","Streptopelia turtur"
014,"Oriental Turtle-Dove","Streptopelia orientalis"
015,"Zebra Dove","Geopelia striata"
,"Cuckoos",
016,"Chestnut-winged Cuckoo","Clamator coromandus"
017,"Asian Koel","Eudynamys scolopaceus"
018,"Gray-bellied Cuckoo","Cacomantis passerinus"
019,"Indian Cuckoo","Cuculus micropterus"
020,"Common Cuckoo","Cuculus canorus"
,"Nightjars and allies",
021,"Jungle Nightjar","Caprimulgus indicus"
022,"White-throated Needletail","Hirundapus caudacutus"
023,"Indian Swiftlet","Aerodramus unicolor"
024,"Himalayan Swiftlet","Aerodramus brevirostris"
025,"Common Swift","Apus apus"
026,"Pallid Swift","Apus pallidus"
027,"Blyth's Swift","Apus leuconyx"
028,"Little Swift","Apus affinis"
,"Rails, gallinules, and coots",
029,"Eurasian Moorhen","Gallinula chloropus"
030,"Eurasian Coot","Fulica atra"
031,"Watercock","Gallicrex cinerea"
032,"White-breasted Waterhen","Amaurornis phoenicurus",2025-11-09
,"Stilts and avocets",
033,"Black-winged Stilt","Himantopus himantopus"
,"Oyster-catchers",
034,"Eurasian Oystercatcher","Haematopus ostralegus"
,"Plovers and lapwings",
035,"Black-bellied Plover","Pluvialis squatarola"
036,"Pacific Golden-Plover","Pluvialis fulva"
037,"Sociable Lapwing","Vanellus gregarius"
038,"Lesser Sand-Plover","Charadrius mongolus"
039,"Greater Sand-Plover","Charadrius leschenaultii",2025-10-07
040,"Caspian Plover","Charadrius asiaticus"
041,"Kentish Plover","Charadrius alexandrinus"
042,"Common Ringed Plover","Charadrius hiaticula"
043,"Little Ringed Plover","Charadrius dubius"
,"Sandpipers and allies",
044,"Whimbrel","Numenius phaeopus"
045,"Eurasian Curlew","Numenius arquata"
046,"Bar-tailed Godwit","Limosa lapponica"
047,"Black-tailed Godwit","Limosa limosa"
048,"Ruddy Turnstone","Arenaria interpres"
049,"Ruff","Calidris pugnax"
050,"Curlew Sandpiper","Calidris ferruginea"
051,"Temminck's Stint","Calidris temminckii"
052,"Long-toed Stint","Calidris subminuta"
053,"Sanderling","Calidris alba"
054,"Dunlin","Calidris alpina"
055,"Little Stint","Calidris minuta"
056,"Common Snipe","Gallinago gallinago"
057,"Pin-tailed Snipe","Gallinago stenura"
058,"Swinhoe's Snipe","Gallinago megala"
059,"Terek Sandpiper","Xenus cinereus"
060,"Common Sandpiper","Actitis hypoleucos"
061,"Green Sandpiper","Tringa ochropus"
062,"Spotted Redshank","Tringa erythropus"
063,"Common Greenshank","Tringa nebularia"
064,"Marsh Sandpiper","Tringa stagnatilis"
065,"Wood Sandpiper","Tringa glareola"
066,"Common Redshank","Tringa totanus"
,"Crab-plover",
067,"Crab-Plover","Dromas ardeola"
,"Pratincoles and coursers",
068,"Collared Pratincole","Glareola pratincola"
069,"Oriental Pratincole","Glareola maldivarum"
,"Skuas and jaegers",
070,"South Polar Skua","Stercorarius maccormicki"
071,"Brown Skua","Stercorarius antarcticus"
072,"Pomarine Jaeger","Stercorarius pomarinus"
073,"Parasitic Jaeger","Stercorarius parasiticus"
074,"Long-tailed Jaeger","Stercorarius longicaudus"
,"Gulls, terns, and skimmers",
075,"Black-headed Gull","Chroicocephalus ridibundus"
076,"Brown-headed Gull","Chroicocephalus brunnicephalus"
077,"White-eyed Gull","Ichthyaetus leucophthalmus"
078,"Sooty Gull","Ichthyaetus hemprichii"
079,"Pallas's Gull","Ichthyaetus ichthyaetus"
080,"Lesser Black-backed Gull","Larus fuscus"
081,"Brown Noddy","Anous stolidus"
082,"Lesser Noddy","Anous tenuirostris"
083,"White Tern","Gygis alba"
084,"Sooty Tern","Onychoprion fuscatus"
085,"Bridled Tern","Onychoprion anaethetus"
086,"Little Tern","Sternula albifrons"
087,"Saunders's Tern","Sternula saundersi"
088,"Gull-billed Tern","Gelochelidon nilotica"
089,"Caspian Tern","Hydroprogne caspia"
090,"White-winged Tern","Chlidonias leucopterus"
091,"Whiskered Tern","Chlidonias hybrida"
092,"Roseate Tern","Sterna dougallii"
093,"Black-naped Tern","Sterna sumatrana"
094,"Common Tern","Sterna hirundo"
095,"White-cheeked Tern","Sterna repressa"
096,"Great Crested Tern","Thalasseus bergii"
097,"Sandwich Tern","Thalasseus sandvicensis"
098,"Lesser Crested Tern","Thalasseus bengalensis"
,"Tropicbirds",
099,"White-tailed Tropicbird","Phaethon lepturus",2025-10-07
100,"Red-billed Tropicbird","Phaethon aethereus"
101,"Red-tailed Tropicbird","Phaethon rubricauda"
,"Southern storm-petrels",
102,"Wilson's Storm-Petrel","Oceanites oceanicus"
103,"White-faced Storm-Petrel","Pelagodroma marina"
,"Northern storm-petrels",
104,"Leach's Storm-Petrel","Hydrobates leucorhous"
105,"Swinhoe's Storm-Petrel","Hydrobates monorhis"
106,"Band-rumped Storm-Petrel","Hydrobates castro"
107,"Matsudaira's Storm-Petrel","Hydrobates matsudairae"
,"Shearwaters and petrels",
108,"Trindade Petrel","Pterodroma arminjoniana"
109,"Bulwer's Petrel","Bulweria bulwerii"
110,"Jouanin's Petrel","Bulweria fallax"
111,"Streaked Shearwater","Calonectris leucomelas"
112,"Flesh-footed Shearwater","Ardenna carneipes"
113,"Wedge-tailed Shearwater","Ardenna pacifica"
114,"Sooty Shearwater","Ardenna grisea"
115,"Short-tailed Shearwater","Ardenna tenuirostris"
116,"Tropical Shearwater","Puffinus bailloni"
117,"Persian Shearwater","Puffinus persicus"
,"Frigatebirds",
118,"Lesser Frigatebird","Fregata ariel"
119,"Great Frigatebird","Fregata minor"
,"Boobies and gannets",
120,"Masked Booby","Sula dactylatra"
121,"Brown Booby","Sula leucogaster"
122,"Red-footed Booby","Sula sula"
123,"Abbott's Booby","Papasula abbotti"
,"Anhingas",
124,"Oriental Darter","Anhinga melanogaster"
,"Cormorants and shags",
125,"Little Cormorant","Microcarbo niger"
126,"Indian Cormorant","Phalacrocorax fuscicollis"
,"Pelicans",
127,"Great White Pelican","Pelecanus onocrotalus"
128,"Spot-billed Pelican","Pelecanus philippensis"
,"Herons, egrets, and bitterns",
129,"Great Bittern","Botaurus stellaris"
130,"Yellow Bittern","Ixobrychus sinensis",2025-10-07
131,"Cinnamon Bittern","Ixobrychus cinnamomeus"
132,"Black Bittern","Ixobrychus flavicollis"
133,"Gray Heron","Ardea cinerea",2025-10-07
134,"Purple Heron","Ardea purpurea"
135,"Great Egret","Ardea alba"
136,"Intermediate Egret","Ardea intermedia"
137,"Little Egret","Egretta garzetta"
138,"Western Reef-Heron","Egretta gularis"
139,"Cattle Egret","Bubulcus ibis",2025-10-07
140,"Indian Pond-Heron","Ardeola grayii"
141,"Striated Heron","Butorides striata"
142,"Black-crowned Night-Heron","Nycticorax nycticorax"
,"Ibises and spoonbills",
143,"Glossy Ibis","Plegadis falcinellus"
144,"Black-headed Ibis","Threskiornis melanocephalus"
145,"Eurasian Spoonbill","Platalea leucorodia"
,"Osprey",
146,"Osprey","Pandion haliaetus"
,"Hawks, eagles, and kites",
147,"Black-winged Kite","Elanus caeruleus"
148,"Oriental Honey-Buzzard","Pernis ptilorhynchus"
149,"Eurasian Marsh-Harrier","Circus aeruginosus"
150,"Pallid Harrier","Circus macrourus"
151,"Montagu's Harrier","Circus pygargus"
152,"Shikra","Accipiter badius"
153,"Black Kite","Milvus migrans"
154,"Brahminy Kite","Haliastur indus"
,"Owls",
155,"Pallid Scops-Owl","Otus brucei"
156,"Short-eared Owl","Asio flammeus"
,"Hoopoes",
157,"Eurasian Hoopoe","Upupa epops"
,"Kingfishers",
158,"Common Kingfisher","Alcedo atthis"
,"Bee-eaters",
159,"Blue-cheeked Bee-eater","Merops persicus"
160,"Blue-tailed Bee-eater","Merops philippinus"
161,"European Bee-eater","Merops apiaster"
,"Rollers",
162,"European Roller","Coracias garrulus"
163,"Indian Roller","Coracias benghalensis"
,"Falcons and caracaras",
164,"Lesser Kestrel","Falco naumanni"
165,"Eurasian Kestrel","Falco tinnunculus"
166,"Amur Falcon","Falco amurensis"
167,"Eurasian Hobby","Falco subbuteo"
168,"Oriental Hobby","Falco severus"
169,"Peregrine Falcon","Falco peregrinus"
,"Old World parrots",
170,"Rose-ringed Parakeet","Psittacula krameri"
,"Cuckoo-shrikes",
171,"Large Cuckooshrike","Coracina macei"
,"Old World orioles",
172,"Indian Golden Oriole","Oriolus kundoo"
,"Wood-swallows, bellmagpies, and allies",
173,"Ashy Woodswallow","Artamus fuscus"
,"Monarch flycatchers",
174,"Indian Paradise-Flycatcher","Terpsiphone paradisi"
,"Shrikes",
175,"Brown Shrike","Lanius cristatus"
176,"Long-tailed Shrike","Lanius schach"
,"Crows, jays, and magpies",
177,"House Crow","Corvus splendens",2025-10-24
,"Larks",
178,"Mongolian Short-toed Lark","Alaudala dukhunensis"
,"Grassbirds and allies",
179,"Common Grasshopper-Warbler","Locustella naevia"
,"Swallows",
180,"Bank Swallow","Riparia riparia"
181,"Barn Swallow","Hirundo rustica"
182,"Red-rumped Swallow","Cecropis daurica"
183,"Streak-throated Swallow","Petrochelidon fluvicola"
184,"Common House-Martin","Delichon urbicum"
,"Sylviid warblers, parrotbills, and allies",
185,"Garden Warbler","Sylvia borin"
,"Starlings",
186,"European Starling","Sturnus vulgaris"
187,"Rosy Starling","Pastor roseus"
188,"Common Myna","Acridotheres tristis"
,"Thrushes and allies",
189,"Eyebrowed Thrush","Turdus obscurus"
,"Old World flycatchers",
190,"Indian Robin","Copsychus fulicatus"
191,"Northern Wheatear","Oenanthe oenanthe"
192,"Isabelline Wheatear","Oenanthe isabellina"
193,"Pied Wheatear","Oenanthe pleschanka"
,"Waxbills and allies",
194,"Red-cheeked Cordonbleu","Uraeginthus bengalus"
,"Old World sparrows",
195,"House Sparrow","Passer domesticus"
,"Wagtails and pipits",
196,"Forest Wagtail","Dendronanthus indicus"
197,"Gray Wagtail","Motacilla cinerea"
198,"Western Yellow Wagtail","Motacilla flava"
199,"Citrine Wagtail","Motacilla citreola"
200,"White Wagtail","Motacilla alba"
201,"Tree Pipit","Anthus trivialis"
202,"Red-throated Pipit","Anthus cervinus"
,"Finches, euphonias, and allies",
203,"Common Rosefinch","Carpodacus erythrinus"
,"Old World buntings",
204,"Ortolan Bunting","Emberiza hortulana"
